Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2010;2010/06;09.439.484/0001-44;A D P INDUSTRIA E COMERCIO DE AGUARDENTE LTDA.;RUA KASULO, 503-D;89814-580;SEMINARIO;Chapecó;Santa Catarina;;
2008;2008/09;83.243.857/0001-60;A DIAS E FILHOS LTDA;RUA CORONEL ALBUQUERQUE,678;89460-000;CENTRO;Canoinhas;Santa Catarina;;
2008;2008/10;07.069.135/0001-52;A E A COM DE EQUIP DE INFORMATICA LTDA;RUA CEL PEDRO BENEDET,350;88801-250;CENTRO;Criciúma;Santa Catarina;;
2011;2011/09;72.354.897/0001-62;A E D MOVEIS E DECORACOES MODULADAS LTDA ME;RUA GETULIO VARGAS,123;88160-000;CENTRO;Biguaçu;Santa Catarina;;
2011;2011/09;72.354.897/0003-24;A E D MOVEIS E DECORACOES MODULADAS LTDA ME;RUA JAIME ARRUDA RAMOS,26;88102-020;KOBRASOL;São José;Santa Catarina;;
2009;2009/08;07.551.850/0001-27;A E M PRESTACAO DE SERVICOS HIDRAULICOS;AV. RIO BRANCO, S/N (AO LADO ANGELONI);88015-200;CENTRO;Florianópolis;Santa Catarina;;
2008;2008/09;05.385.766/0001-55;A ESSENCIA LTDA - ME;ENG. BOA NOVA,,25;88802-120;CENTRO;Criciúma;Santa Catarina;;
2009;2009/08;03.495.729/0001-74;A ESTEVAM COMERCIO E TRANSPORTE LTDA ME;RUA VIDEIRA,72;88815-130;CEARA;Criciúma;Santa Catarina;;
2008;2008/07;77.884.211/0001-69;A F COMERCIAL SA;AVENIDA OSMAR CUNHA 416;88015-100;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/04;09.046.502/0001-28;A F M DALLAGNO CIA LTDA ME;AV DO ESTADO  3351;88330-077;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/03;01.209.793/0001-16;A FORTALEZA REST. E PIZZARIA LTDA ME;RUA FRANCISCO VAHLDIECK,796;89056-000;FORTALEZA;Blumenau;Santa Catarina;;
2011;2011/11;12.998.028/0001-49;A J DE MARCO;AV GETULIO VARGAS, 313 N;89802-000;CENTRO;Chapecó;Santa Catarina;;
2008;2008/11;02.613.389/0001-76;A J MAZZOCHI;RUA VIDAL RAMOS JUNIOR 53;88502-170;CENTRO;Lages;Santa Catarina;;
2010;2010/03;08.047.819/0001-16;A J R COMERCIO DE KITAS DE GRAVACAO EM VIDROS LTDA M;RUA DOM PEDRO II,278;89887-000;CENTRO;Palmitos;Santa Catarina;;
2011;2011/02;08.047.819/0001-16;A J R COMERCIO DE KITAS DE GRAVACAO EM VIDROS LTDA M;RUA DOM PEDRO II,278;89887-000;CENTRO;Palmitos;Santa Catarina;;
2008;2008/07;03.567.329/0001-27;A J S TUR TURISMO LTDA;ANEXO USINA FOZ DO CHAPECó;89883-000;Sem Informação;Águas de Chapecó;Santa Catarina;;
2012;2012/05;01.491.039/0001-11;A M MOTA LANCHES LTDA EPP;ROD BR 101;88704-700;REVOREDO;Paulo Lopes;Santa Catarina;;
2009;2009/01;04.856.840/0001-01;A M N ENJARDINAMENTO LTDA ME;RUA PAULO HABITZREUTER,123;88360-000;SAO PEDRO;Guabiruba;Santa Catarina;;
2008;2008/07;00.974.498/0001-93;A M PRESTSERV COMERCIO DE CONCRETOS LTD;RUA ALFREDO WAGNER,200;89804-430;ALVORADA;Chapecó;Santa Catarina;;
